---------- Log from 04.06.2020 18:40:12 ---------------------------------------------------------------------------------------
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidBane_crusader\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Oracle_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Blue\Aegis\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Black\VoidSkeleton_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Groundbreaker\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Green\Sapling_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Priest_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigFlyingGolem\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\White\Monk_default\" not found!
[04.06.2020 18:40:14] TAssetPreloader.TryCollectFileInfo: "G:\SVN\ProgrammierenSVN\Graphics\Units\Colorless\BigCasterGolem\" not found!
